level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,981,1100,-1,
2,1,1,0,0,0,160,61,146,20,-1,
3,1,1,1,0,0,160,61,146,20,-1,
4,1,1,1,1,0,160,61,146,20,-1,
5,1,1,1,1,1,160,61,146,20,95.193359,SPECIAL
2,1,2,0,0,0,102,95,254,42,-1,
3,1,2,1,0,0,102,95,254,42,-1,
4,1,2,1,1,0,102,95,254,42,-1,
5,1,2,1,1,1,102,95,254,42,91.156342,CALZONE
2,1,3,0,0,0,189,153,89,20,-1,
3,1,3,1,0,0,189,153,89,20,-1,
4,1,3,1,1,0,189,153,89,20,-1,
5,1,3,1,1,1,189,153,89,20,96.486259,MENU
2,1,4,0,0,0,87,248,212,64,-1,
3,1,4,1,0,0,87,248,212,64,-1,
4,1,4,1,1,0,87,248,212,23,-1,
5,1,4,1,1,1,87,248,85,23,95.974747,Three
5,1,4,1,1,2,183,248,116,23,96.476257,Cheese
4,1,4,1,2,0,87,282,131,30,-1,
5,1,4,1,2,1,87,282,131,30,96.505692,Caprese
2,1,5,0,0,0,82,318,291,165,-1,
3,1,5,1,0,0,82,318,291,165,-1,
4,1,5,1,1,0,83,318,290,17,-1,
5,1,5,1,1,1,83,318,227,17,82.762482,(Mozzarella+Cheddar+Cream
5,1,5,1,1,2,316,321,57,11,96.275276,Cheese
4,1,5,1,2,0,82,342,255,16,-1,
5,1,5,1,2,1,82,345,196,11,89.005127,+Tomato+Basil+Balsamic
5,1,5,1,2,2,284,342,53,16,95.290146,Drizzle)
4,1,5,1,3,0,327,368,44,17,-1,
5,1,5,1,3,1,327,368,44,17,94.530838,259
4,1,5,1,4,0,86,400,283,24,-1,
5,1,5,1,4,1,86,400,162,24,96.686348,Mushroom
5,1,5,1,4,2,261,402,82,22,2.975929,Pesto
4,1,5,1,5,0,83,433,225,16,-1,
5,1,5,1,5,1,83,433,68,16,78.192596,(Sauteed
5,1,5,1,5,2,158,435,150,11,85.121574,Mushrooms+Pesto+
4,1,5,1,6,0,82,457,289,26,-1,
5,1,5,1,6,1,82,460,118,11,88.924423,Mozzarella+Sun
5,1,5,1,6,2,206,460,39,11,96.938881,Dried
